EAST
Villanova,94.94,1
Purdue,91.09,2
Texas Tech,87.3,3
Wichita State,87.97,4
West Virginia,88.6,5
Florida,86.45,6
Arkansas,83.29,7
Virginia Tech,83.44,8
Alabama,82.21,9
Butler,84.65,10
UCLA / St. Bonaventure,83.24,11
Murray State,78.93,12
Marshall,75.58,13
Stephen F. Austin,74.78,14
Cal State Fullerton,71.88,15
Long Island University / Radford,70.87,16

MIDWEST
Kansas,90.86,1
Duke,92.59,2
Michigan State,91.67,3
Auburn,84.07,4
Clemson,84.15,5
Texas Christian,84.85,6
Rhode Island,83.07,7
Seton Hall,85.03,8
North Carolina State,81.76,9
Oklahoma,82.12,10
Arizona State / Syracuse,81.85,11
New Mexico State,79.8,12
College of Charleston,76.45,13
Bucknell,78.25,14
Iona,74.81,15
Pennsylvania,75.45,16

SOUTH
Virginia,94.29,1
Cincinnati,91.09,2
Tennessee,87.19,3
Kentucky,88.06,5
Arizona,87.86,4
Miami (FL),83.95,6
Nevada,81.83,7
Creighton,83.41,8
Kansas State,81.5,9
Texas,82.91,10
Loyola (IL),81.28,11
Davidson,81.78,12
Buffalo,79.07,13
Wright State,74.3,14
Georgia State,75.89,15
Maryland-Baltimore County,71.36,16

WEST
Xavier,89.02,1
North Carolina,90.62,2
Michigan,88.53,3
Gonzaga,89.54,4
Ohio State,85.61,5
Houston,86.04,6
Texas A&M,83.55,7
Missouri,80.85,8
Florida State,83.62,9
Providence,81.28,10
San Diego State,81.73,11
South Dakota State,78.07,12
North Carolina-Greensboro,78.03,13
Montana,76.79,14
Lipscomb,72.45,15
North Carolina Central / Texas Southern,67.93,16
